City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
6,Touros,BR,83.57,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
10,Karratha,AU,85.6,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
14,Bambous Virieux,MU,80.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
15,Rikitea,PF,79.2,light rain,-23.1203,-134.9692,People ThankYou
18,Inhambane,MZ,76.98,scattered clouds,-23.865,35.3833,Oceano
20,Hilo,US,81.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
22,Umm Kaddadah,SD,79.27,clear sky,13.6017,26.6876,
25,Porto Novo,BJ,85.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
30,Mohgaon,IN,83.79,broken clouds,21.65,78.7167,pushpa computer & photocopy
32,Caninde De Sao Francisco,BR,88.79,broken clouds,-9.66,-37.7894,Xingo Parque Hotel
34,Bosobolo,CD,82.4,clear sky,4.1833,19.9,
40,Guarapari,BR,80.89,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
48,Isangel,VU,79.02,overcast clouds,-19.55,169.2667,Tanna Lodge
51,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
53,Sanchor,IN,75.67,clear sky,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
57,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
65,Vaini,TO,81.23,light rain,-21.2,-175.2,Keleti Beach Resort
70,Fernandina Beach,US,75.02,clear sky,30.6697,-81.4626,Hampton Inn Amelia Island at Fernandina Beach
75,Paita,PE,80.96,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
78,Ahuimanu,US,80.37,few clouds,21.4447,-157.8378,Paradise Bay Resort
82,Hithadhoo,MV,83.98,broken clouds,-0.6,73.0833,Scoop Guest House
84,Butaritari,KI,80.44,light rain,3.0707,172.7902,Isles Sunset Lodge
85,Kapaa,US,76.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
89,Bengkulu,ID,75.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
92,Manggar,ID,80.49,overcast clouds,-2.8833,108.2667,Guest Hotel
94,Boma,GH,80.22,light rain,7.0805,-2.1697,Obaatanpa Hotel
95,Mitsamiouli,KM,79.09,few clouds,-11.3847,43.2844,Foyer ADM
106,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
111,Loandjili,CG,82.51,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
114,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
120,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
122,Jaswantnagar,IN,78.96,clear sky,26.8786,78.9028,Shree hari electronics and mobile repair senter
124,Lazaro Cardenas,MX,85.84,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
126,Samarai,PG,83.05,clear sky,-10.6167,150.6667,Nuli Sapi
127,Vila Velha,BR,80.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
131,Lompoc,US,78.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
134,Ipubi,BR,83.26,overcast clouds,-7.6519,-40.1489,37 hostel
145,Chavakkad,IN,81.09,clear sky,10.5333,76.05,Rajah Island
146,Hualmay,PE,75.29,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
149,Kulhudhuffushi,MV,82.76,scattered clouds,6.6221,73.07,Haajy Guest House 1
154,Labuhan,ID,77.38,moderate rain,-6.8844,112.2051,DoubleFAG
159,Qeshm,IR,75.07,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
