City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khatanga,RU,71.9667,102.5,-26.05,100,100,4.47,overcast clouds
1,Saint-Philippe,RE,-21.3585,55.7679,80.19,89,100,11.86,light rain
2,Castro,BR,-24.7911,-50.0119,69.19,67,28,10.56,scattered clouds
3,Punta Arenas,CL,-53.15,-70.9167,57.31,54,75,31.07,broken clouds
4,Barrow,US,71.2906,-156.7887,-25.58,68,0,4.61,clear sky
5,North Bend,US,43.4065,-124.2243,51.08,96,100,9.22,mist
6,Touros,BR,-5.1989,-35.4608,83.57,69,71,11.52,moderate rain
7,Iskateley,RU,67.6803,53.1512,25.23,93,100,17.87,light snow
8,Ongandjera,NA,-17.8833,15.0667,80.13,51,95,11.03,light rain
9,Lavrentiya,RU,65.5833,-171.0,-2.79,92,100,2.15,overcast clouds
10,Karratha,AU,-20.7377,116.8463,85.6,69,100,19.82,overcast clouds
11,Upernavik,GL,72.7868,-56.1549,-12.62,71,84,5.35,broken clouds
12,Ribeira Grande,PT,38.5167,-28.7,59.4,58,75,20.71,broken clouds
13,East London,ZA,-33.0153,27.9116,72.54,78,0,6.91,clear sky
14,Bambous Virieux,MU,-20.3428,57.7575,80.85,94,75,6.91,broken clouds
15,Rikitea,PF,-23.1203,-134.9692,79.2,74,4,16.31,light rain
16,Mar Del Plata,AR,-38.0023,-57.5575,64.09,83,100,21.99,light rain
17,Kaitangata,NZ,-46.2817,169.8464,58.64,87,78,14.0,broken clouds
18,Inhambane,MZ,-23.865,35.3833,76.98,69,40,6.91,scattered clouds
19,Ushuaia,AR,-54.8,-68.3,53.26,66,75,9.22,broken clouds
20,Hilo,US,19.7297,-155.09,81.63,75,20,6.91,few clouds
21,Umba,RU,66.6871,34.3429,35.04,81,11,12.77,few clouds
22,Umm Kaddadah,SD,13.6017,26.6876,79.27,8,5,12.48,clear sky
23,Statesboro,US,32.4488,-81.7832,74.73,18,0,4.61,clear sky
24,Clyde River,CA,70.4692,-68.5914,-9.17,77,100,2.3,light snow
25,Porto Novo,BJ,6.4965,2.6036,85.82,75,100,6.55,light rain
26,Cidreira,BR,-30.1811,-50.2056,70.92,65,97,16.44,overcast clouds
27,Tasiilaq,GL,65.6145,-37.6368,17.76,64,0,4.81,clear sky
28,Christchurch,NZ,-43.5333,172.6333,61.0,94,75,16.11,mist
29,Korla,CN,41.7597,86.1469,40.59,82,13,5.1,few clouds
30,Mohgaon,IN,21.65,78.7167,83.79,15,74,3.74,broken clouds
31,Hami,CN,42.8,93.45,38.91,44,6,3.36,clear sky
32,Caninde De Sao Francisco,BR,-9.66,-37.7894,88.79,46,62,13.31,broken clouds
33,Lebu,CL,-37.6167,-73.65,61.05,74,26,10.45,scattered clouds
34,Bosobolo,CD,4.1833,19.9,82.4,45,4,3.51,clear sky
35,Lebork,PL,54.5392,17.7501,44.92,49,0,6.11,clear sky
