City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Provideniya,RU,2022-03-20 16:11:14,64.3833,-173.3,1.4,91,9,3.74
1,Hay River,CA,2022-03-20 16:11:14,60.8156,-115.7999,31.35,96,100,4.43
2,Aklavik,CA,2022-03-20 16:11:15,68.2191,-135.0107,-10.66,98,100,9.13
3,Hermanus,ZA,2022-03-20 16:11:15,-34.4187,19.2345,76.8,66,0,18.12
4,Bluff,NZ,2022-03-20 16:11:16,-46.6,168.3333,54.63,91,90,0.51
5,Dzhebariki-Khaya,RU,2022-03-20 16:11:16,62.2167,135.8,-12.78,100,46,0.38
6,Tucurui,BR,2022-03-20 16:07:29,-3.7661,-49.6725,88.29,58,64,2.26
7,Makakilo City,US,2022-03-20 16:11:17,21.3469,-158.0858,70.68,85,0,4.61
8,Fomboni,KM,2022-03-20 16:11:17,-12.28,43.7425,82.4,76,100,6.38
9,Cape Town,ZA,2022-03-20 16:11:19,-33.9258,18.4232,75.34,58,0,14.45
10,New Norfolk,AU,2022-03-20 16:11:20,-42.7826,147.0587,56.7,71,100,0.94
11,Hobart,AU,2022-03-20 16:09:10,-42.8794,147.3294,57.06,95,100,4.61
12,Rikitea,PF,2022-03-20 16:11:21,-23.1203,-134.9692,79.43,76,7,11.95
13,Bengkulu,ID,2022-03-20 16:11:22,-3.8004,102.2655,78.78,83,82,4.41
14,Upernavik,GL,2022-03-20 16:11:23,72.7868,-56.1549,-7.13,92,94,6.2
15,Kabanjahe,ID,2022-03-20 16:07:18,3.1001,98.4908,63.75,92,98,4.59
16,Tual,ID,2022-03-20 16:07:18,-5.6667,132.75,84.25,75,100,10.4
17,Busselton,AU,2022-03-20 16:11:24,-33.65,115.3333,64.22,81,69,17.56
18,Iqaluit,CA,2022-03-20 16:11:15,63.7506,-68.5145,-16.31,68,9,4.05
19,Nikolskoye,RU,2022-03-20 16:11:24,59.7035,30.7861,40.89,96,45,6.11
20,Comodoro Rivadavia,AR,2022-03-20 16:11:25,-45.8667,-67.5,66.06,45,0,12.66
21,Carballo,ES,2022-03-20 16:11:26,43.213,-8.691,67.42,67,100,3.29
22,Port Blair,IN,2022-03-20 16:11:27,11.6667,92.75,76.6,89,100,12.8
23,Rio Gallegos,AR,2022-03-20 16:11:27,-51.6226,-69.2181,64.45,34,0,4.61
24,Barrow,US,2022-03-20 16:10:02,71.2906,-156.7887,-23.78,76,0,8.05
25,Mataura,NZ,2022-03-20 16:11:28,-46.1927,168.8643,47.79,99,81,1.66
26,Saint Anthony,US,2022-03-20 16:11:29,45.0205,-93.218,49.93,65,0,8.05
27,Guerrero Negro,MX,2022-03-20 16:06:29,27.9769,-114.0611,61.45,76,34,13.69
28,Benguela,AO,2022-03-20 16:11:29,-12.5763,13.4055,80.94,73,90,8.14
29,Guisa,CU,2022-03-20 16:11:31,20.255,-76.5386,85.51,49,12,4.63
30,Hermosillo,MX,2022-03-20 16:07:32,29.0667,-110.9667,73.85,22,0,4.61
31,Riberalta,BO,2022-03-20 16:11:31,-10.9833,-66.1,79.0,89,75,6.91
32,Mahebourg,MU,2022-03-20 16:11:32,-20.4081,57.7,79.25,83,97,10.94
33,General Roca,AR,2022-03-20 16:11:33,-39.0333,-67.5833,76.62,32,37,28.03
34,Saskylakh,RU,2022-03-20 16:11:33,71.9167,114.0833,-10.59,100,95,4.61
35,Brezoi,RO,2022-03-20 16:11:34,45.338,24.2486,36.45,54,23,4.88
36,Ushuaia,AR,2022-03-20 16:07:43,-54.8,-68.3,55.71,59,79,5.84
37,Constitucion,CL,2022-03-20 16:11:35,-35.3333,-72.4167,66.07,52,100,10.33
38,Dikson,RU,2022-03-20 16:11:36,73.5069,80.5464,-0.87,100,97,8.23
39,Qaanaaq,GL,2022-03-20 16:11:37,77.484,-69.3632,-4.92,93,100,8.19
40,Longyearbyen,SJ,2022-03-20 16:11:37,78.2186,15.6401,22.84,74,75,1.14
41,Albany,US,2022-03-20 16:12:38,42.6001,-73.9662,51.58,71,99,1.01
42,Tecoanapa,MX,2022-03-20 16:12:39,16.5167,-98.75,85.08,42,10,3.24
43,Coahuayana,MX,2022-03-20 16:12:40,18.7333,-103.6833,85.15,21,93,3.53
44,Filadelfia,US,2022-03-20 16:08:23,39.9523,-75.1638,56.98,57,75,18.41
45,Dublin,US,2022-03-20 16:10:59,37.7021,-121.9358,53.06,76,0,3.0
46,Jamestown,US,2022-03-20 16:11:18,42.097,-79.2353,38.52,70,100,12.66
47,Payson,US,2022-03-20 16:12:41,40.0444,-111.7321,50.25,49,100,16.11
48,Leningradskiy,RU,2022-03-20 16:12:41,69.3833,178.4167,-3.26,77,19,6.78
49,Avarua,CK,2022-03-20 16:12:42,-21.2078,-159.775,77.05,88,94,4.61
50,Coachella,US,2022-03-20 16:12:42,33.6803,-116.1739,66.76,42,0,16.11
51,Pokhara,NP,2022-03-20 16:11:41,28.2333,83.9833,71.8,28,22,7.34
52,Bandarbeyla,SO,2022-03-20 16:12:43,9.4942,50.8122,78.04,72,0,8.14
53,Mwanza,TZ,2022-03-20 16:12:43,-2.5167,32.9,78.53,60,85,6.73
54,Bredasdorp,ZA,2022-03-20 16:12:44,-34.5322,20.0403,72.7,66,49,14.67
55,Klaksvik,FO,2022-03-20 16:12:45,62.2266,-6.589,45.52,86,100,28.81
56,Sabang,ID,2022-03-20 16:12:46,5.8933,95.3214,81.7,75,100,22.37
57,Saint-Georges,GD,2022-03-20 16:08:11,12.0564,-61.7485,83.88,61,20,23.02
58,Esperance,AU,2022-03-20 16:12:47,-33.8667,121.9,68.25,90,100,18.88
59,Okakarara,NA,2022-03-20 16:12:48,-20.5833,17.4333,77.54,52,45,7.45
60,Charleston,US,2022-03-20 16:09:06,32.7766,-79.9309,66.02,45,0,13.8
61,Kukmor,RU,2022-03-20 16:12:49,56.1855,50.8944,33.44,90,100,12.01
62,Kaitangata,NZ,2022-03-20 16:12:49,-46.2817,169.8464,48.56,95,95,2.55
63,Bogo,PH,2022-03-20 16:12:49,11.0517,124.0055,80.2,83,98,7.52
64,Katsuura,JP,2022-03-20 16:12:50,35.1333,140.3,50.25,84,100,14.54
65,Dicabisagan,PH,2022-03-20 16:12:50,17.0818,122.4157,78.17,88,58,3.83
66,Souillac,MU,2022-03-20 16:12:51,-20.5167,57.5167,79.93,86,96,9.44
67,Bandarban,BD,2022-03-20 16:12:51,22.1965,92.2262,68.16,56,10,3.18
68,Yellowknife,CA,2022-03-20 16:12:52,62.456,-114.3525,22.41,99,100,1.01
69,Sumter,US,2022-03-20 16:12:52,28.7086,-82.0831,72.01,66,66,11.27
70,Tiksi,RU,2022-03-20 16:12:52,71.6872,128.8694,9.14,79,100,16.55
71,Tamandare,BR,2022-03-20 16:12:53,-8.7597,-35.1047,84.36,66,40,8.39
72,Atar,MR,2022-03-20 16:12:53,20.5169,-13.0499,91.71,9,0,7.2
73,Saldanha,ZA,2022-03-20 16:12:54,-33.0117,17.9442,69.13,79,37,16.28
74,Griffith,US,2022-03-20 16:12:55,41.5284,-87.4237,52.38,68,0,4.0
75,San Vicente,AR,2022-03-20 16:12:56,-26.6167,-54.1333,80.44,42,1,5.26
76,Puerto Asis,CO,2022-03-20 16:12:56,0.5133,-76.5007,78.04,85,92,1.05
77,Dergaon,IN,2022-03-20 16:12:56,26.7,93.9667,80.24,30,1,7.2
78,Sao Filipe,CV,2022-03-20 16:12:57,14.8961,-24.4956,70.95,67,7,11.5
79,Batagay-Alyta,RU,2022-03-20 16:12:57,67.8006,130.4114,-25.62,91,6,6.24
